All checks passed!
{"timestamp": "2026-09-12T02:59:55.971648Z", "level": "WARNING", "logger": "revguard.api", "message": "REVGUARD_ENABLE_LEGACY_TOOL_API=true：仅允许历史 Evidence Principal 复放只读工具"}
{"timestamp": "2026-09-12T02:59:58.998079Z", "level": "WARNING", "logger": "revguard.api", "message": "录制 WebUI 尚未构建：/workspace/demo-ui/dist/client"}
{"timestamp": "2026-09-12T03:00:05.743085Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-2A7E6502", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/team/run", "status_code": 202, "duration_ms": 23, "trace_id": "c0cab532e9675c271b275bc7a544082f", "span_id": "ba765ccb8f3e2ce0"}
{"timestamp": "2026-09-12T03:00:06.254131Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-5EA35703", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 3, "trace_id": "0e79253b57d1c973c908ba58e3f13e32", "span_id": "b37ef19c35ca6f6d"}
{"timestamp": "2026-09-12T03:00:06.265525Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-ACD6DA29", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 2, "trace_id": "478728b9f8eda9a31d46e938b5144ab8", "span_id": "b6ad19322cee49d2"}
{"timestamp": "2026-09-12T03:00:06.275608Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-502BE62F", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 3, "trace_id": "b463ae7a198a847db5e3b1655c0d21a5", "span_id": "4966eb04efe889b3"}
{"timestamp": "2026-09-12T03:00:06.286025Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-8490036A", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 3, "trace_id": "2a73d4577c8290a924e6d9f9e17c4b81", "span_id": "f6094686139b67cd"}
{"timestamp": "2026-09-12T03:00:06.408278Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-8CD2AE7F", "method": "GET", "path": "/api/v1/cases", "status_code": 409, "duration_ms": 1, "trace_id": "c089ce72860552c58eaa7eec865091f1", "span_id": "9590c3138309ee14"}
{"timestamp": "2026-09-12T03:00:06.410545Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-E83CA49C", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/run", "status_code": 409, "duration_ms": 1, "trace_id": "54c4366cfdcf63e7a0485dd1b49bec10", "span_id": "368d8e05bf1d65b7"}
{"timestamp": "2026-09-12T03:00:06.412647Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-BD8C2CEF", "method": "GET", "path": "/api/v1/health/live", "status_code": 200, "duration_ms": 1, "trace_id": "e0a114e8d14ab7ef3a57b599c6d987cd", "span_id": "1c0d6c1d97d8b993"}
{"timestamp": "2026-09-12T03:00:06.418527Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-82143F9E", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 200, "duration_ms": 16, "trace_id": "d3d58fce83ff3a24ac1fb1c53b8270f7", "span_id": "cfb964a43c2eefa6"}
{"timestamp": "2026-09-12T03:00:06.574556Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-55065CEC", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 503, "duration_ms": 1, "trace_id": "6e8c216b02712b44f81fe9f73d9357be", "span_id": "69fa99e073b8fab4"}
{"timestamp": "2026-09-12T03:00:06.577611Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-BBE6CB95", "method": "GET", "path": "/api/v1/health/live", "status_code": 200, "duration_ms": 1, "trace_id": "c367fedafb139a90c939026316c91e56", "span_id": "1a209e6e5ca37ca2"}
{"timestamp": "2026-09-12T03:00:06.776314Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-B799BE08", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/reprepare", "status_code": 409, "duration_ms": 5, "trace_id": "b27bfe2bb80a75b7cb89830fd1dbf262", "span_id": "4617e08eae5603a8"}
{"timestamp": "2026-09-12T03:00:06.857616Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-51114F92", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 409, "duration_ms": 2, "trace_id": "bca2ea844f6714e13c1a690b1eb3d801", "span_id": "912166bf6cbda684"}
{"timestamp": "2026-09-12T03:00:06.860572Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-B7DAAFF2", "method": "GET", "path": "/api/v1/health/live", "status_code": 200, "duration_ms": 1, "trace_id": "75eb74a33fc16094cc0e8f6ac271b1e2", "span_id": "5b2b8510ed5cd679"}
{"timestamp": "2026-09-12T03:00:06.861966Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-13890458", "method": "POST", "path": "/api/v1/cases/CASE-2026-0008/run", "status_code": 200, "duration_ms": 10, "trace_id": "baddcd347eb419aaa31bdd41fefc0383", "span_id": "9f118c6415ca6e59"}
{"timestamp": "2026-09-12T03:00:06.871246Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-2D0A8A49", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 200, "duration_ms": 7, "trace_id": "d5dd85d77f173bdfe2241877f9119dd6", "span_id": "443c084eb6528a70"}
{"timestamp": "2026-09-12T03:00:07.016464Z", "level": "INFO", "logger": "revguard.api", "message": "http_request", "request_id": "REQ-5646DFE0", "method": "POST", "path": "/api/v1/demo/reset", "status_code": 503, "duration_ms": 1, "trace_id": "acbd76358ef07b78712833c15a8d7ca3", "span_id": "93378d4cffa746c5"}
----------------------------------------------------------------------
Ran 20 tests in 8.022s

OK
